package	format	vectorisation	merge	time
readr	.txt	for loop	do.call	1.14042401313782
readr	.txt	for loop	do.call	1.16286706924438
readr	.txt	for loop	do.call	1.15615701675415
readr	.txt	for loop	do.call	1.15201187133789
readr	.txt	for loop	do.call	1.14542102813721
data.table	.txt	for loop	do.call	1.27002811431885
data.table	.txt	for loop	do.call	1.12675595283508
data.table	.txt	for loop	do.call	1.16218185424805
data.table	.txt	for loop	do.call	1.15492510795593
data.table	.txt	for loop	do.call	1.12237787246704
data.table	.txt	for loop	do.call	1.13106203079224
data.table	.txt	for loop	do.call	1.13500905036926
data.table	.txt	for loop	do.call	1.14417695999146
data.table	.txt	for loop	do.call	1.20407700538635
data.table	.txt	for loop	do.call	1.11901307106018
data.table	.txt	for loop	do.call	1.12497401237488
data.table	.txt	for loop	do.call	1.11727690696716
data.table	.txt	for loop	do.call	1.14892506599426
data.table	.txt	for loop	do.call	1.15213704109192
data.table	.txt	for loop	do.call	1.1233549118042
data.table	.txt	for loop	do.call	1.15166711807251
data.table	.txt	for loop	do.call	1.15241003036499
data.table	.txt	for loop	do.call	1.12058186531067
data.table	.txt	for loop	do.call	1.31653809547424
data.table	.txt	for loop	do.call	1.21797299385071
data.table	.txt	for loop	do.call	1.15091800689697
data.table	.txt	for loop	do.call	1.129802942276
data.table	.txt	for loop	do.call	1.13565015792847
data.table	.txt	for loop	do.call	1.11904501914978
data.table	.txt	for loop	do.call	1.13795590400696
data.table	.txt	for loop	do.call	1.21180891990662
data.table	.txt	for loop	do.call	1.17983913421631
data.table	.txt	for loop	do.call	1.13849401473999
data.table	.txt	for loop	do.call	1.1234278678894
data.table	.txt	for loop	do.call	1.17691016197205
data.table	.txt	for loop	do.call	1.15588092803955
data.table	.txt	for loop	do.call	1.23943400382996
data.table	.txt	for loop	do.call	1.11166000366211
data.table	.txt	for loop	do.call	1.14811491966248
data.table	.txt	for loop	do.call	1.15915298461914
data.table	.txt	for loop	do.call	1.14580297470093
data.table	.txt	for loop	do.call	1.24742197990417
data.table	.txt	for loop	do.call	1.181636095047
data.table	.txt	for loop	do.call	1.1960780620575
data.table	.txt	for loop	do.call	1.24915885925293
data.table	.txt	for loop	do.call	1.14913511276245
data.table	.txt	for loop	do.call	1.16590404510498
data.table	.txt	for loop	do.call	1.24486088752747
data.table	.txt	for loop	do.call	1.22649598121643
data.table	.txt	for loop	do.call	1.25737404823303
data.table	.txt	for loop	do.call	1.17525911331177
data.table	.txt	for loop	do.call	1.16771793365479
data.table	.txt	for loop	do.call	1.18941998481751
data.table	.txt	for loop	do.call	1.16026210784912
data.table	.txt	for loop	do.call	1.1639678478241
data.table	.txt	for loop	do.call	1.17258405685425
data.table	.txt	for loop	do.call	1.2033588886261
data.table	.txt	for loop	do.call	1.15064406394959
data.table	.txt	for loop	do.call	1.26705598831177
data.table	.txt	for loop	do.call	1.26517701148987
data.table	.txt	for loop	do.call	1.17306399345398
data.table	.txt	for loop	do.call	1.15979599952698
data.table	.txt	for loop	do.call	1.18018102645874
data.table	.txt	for loop	do.call	1.14355993270874
data.table	.txt	for loop	do.call	1.16370701789856
data.table	.txt	for loop	do.call	1.15833616256714
data.table	.txt	for loop	do.call	1.16499900817871
data.table	.txt	for loop	do.call	1.22237586975098
data.table	.txt	for loop	do.call	1.21781802177429
data.table	.txt	for loop	do.call	1.15366196632385
data.table	.txt	for loop	do.call	1.13517093658447
data.table	.txt	for loop	do.call	1.14452409744263
data.table	.txt	for loop	do.call	1.21798491477966
data.table	.txt	for loop	do.call	1.15555000305176
data.table	.txt	for loop	do.call	1.1552951335907
data.table	.txt	for loop	do.call	1.25129199028015
data.table	.txt	for loop	do.call	1.14830493927002
data.table	.txt	for loop	do.call	1.23269891738892
data.table	.txt	for loop	do.call	1.14532518386841
data.table	.txt	for loop	do.call	1.14824390411377
data.table	.txt	for loop	do.call	1.15052700042725
data.table	.txt	for loop	do.call	1.14183807373047
data.table	.txt	for loop	do.call	1.15901589393616
data.table	.txt	for loop	do.call	1.15638613700867
data.table	.txt	for loop	do.call	1.14194798469543
data.table	.txt	for loop	do.call	1.26388692855835
data.table	.txt	for loop	do.call	1.12303304672241
data.table	.txt	for loop	do.call	1.22604393959045
data.table	.txt	for loop	do.call	1.12896299362183
data.table	.txt	for loop	do.call	1.15004301071167
data.table	.txt	for loop	do.call	1.15246391296387
data.table	.txt	for loop	do.call	1.14753913879395
data.table	.txt	for loop	do.call	1.15644001960754
data.table	.txt	for loop	do.call	1.1619348526001
data.table	.txt	for loop	do.call	1.16398096084595
data.table	.txt	for loop	do.call	1.22837805747986
data.table	.txt	for loop	do.call	1.12963914871216
data.table	.txt	for loop	do.call	1.15955400466919
data.table	.txt	for loop	do.call	1.1461718082428
data.table	.txt	for loop	do.call	1.1678740978241
data.table	.txt	for loop	do.call	1.14342594146729
data.table	.txt	for loop	do.call	1.16308617591858
data.table	.txt	for loop	do.call	1.13599991798401
data.table	.txt	for loop	do.call	1.21832799911499
data.table	.txt	for loop	do.call	1.16904807090759
base	.csv	lapply	do.call	1.21174311637878
base	.csv	lapply	do.call	1.10705089569092
base	.csv	lapply	do.call	1.12100410461426
base	.csv	lapply	do.call	1.24167895317078
base	.csv	lapply	do.call	1.1294641494751
base	.csv	lapply	do.call	1.1823468208313
